,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
58,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[10.0,6.0,1.0]",ECKART,149.036,143.323,0.00101,"[0.0, 143.16, 144.55, 142.26]",0.2,0.5,"[10, 6, 1]","[1, 0, 1]"
59,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[10.0,6.0,1.0]",HT,149.036,107.78,0.05253,"[0.0, 145.99, 33.27, 144.08]",0.2,0.5,"[10, 6, 1]","[1, 0, 1]"
60,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,3.0,1.0]",Classic,146.31,126.683,0.01189,"[0.0, 132.2, 126.89, 120.96]",0.2,0.5,"[4, 3, 1]","[2, 1, 1]"
61,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,3.0,1.0]",ROTH,146.31,126.683,0.01189,"[0.0, 132.2, 126.89, 120.96]",0.2,0.5,"[4, 3, 1]","[2, 1, 1]"
62,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,3.0,1.0]",PHAT,146.31,126.683,0.01189,"[0.0, 132.2, 126.89, 120.96]",0.2,0.5,"[4, 3, 1]","[2, 1, 1]"
63,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,3.0,1.0]",SCOT,146.31,126.683,0.01189,"[0.0, 132.2, 126.89, 120.96]",0.2,0.5,"[4, 3, 1]","[2, 1, 1]"
64,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,3.0,1.0]",ECKART,146.31,122.897,0.01692,"[0.0, 125.87, 124.37, 118.45]",0.2,0.5,"[4, 3, 1]","[2, 1, 1]"
65,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,3.0,1.0]",HT,146.31,126.683,0.01189,"[0.0, 132.2, 126.89, 120.96]",0.2,0.5,"[4, 3, 1]","[2, 1, 1]"
66,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[8.0,5.0,1.0]",Classic,150.255,143.703,0.00132,"[0.0, 144.55, 143.85, 142.71]",0.2,0.5,"[8, 5, 1]","[2, 1, 1]"
67,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[8.0,5.0,1.0]",ROTH,150.255,144.417,0.00105,"[0.0, 145.99, 144.55, 142.71]",0.2,0.5,"[8, 5, 1]","[2, 1, 1]"
68,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[8.0,5.0,1.0]",PHAT,150.255,144.417,0.00105,"[0.0, 145.99, 144.55, 142.71]",0.2,0.5,"[8, 5, 1]","[2, 1, 1]"
69,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[8.0,5.0,1.0]",SCOT,150.255,144.417,0.00105,"[0.0, 145.99, 144.55, 142.71]",0.2,0.5,"[8, 5, 1]","[2, 1, 1]"
70,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[8.0,5.0,1.0]",ECKART,150.255,139.24,0.00374,"[0.0, 139.24, 139.24, 139.24]",0.2,0.5,"[8, 5, 1]","[2, 1, 1]"
71,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[8.0,5.0,1.0]",HT,150.255,144.417,0.00105,"[0.0, 145.99, 144.55, 142.71]",0.2,0.5,"[8, 5, 1]","[2, 1, 1]"
72,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[5.0,6.0,1.0]",Classic,128.66,116.673,0.00443,"[0.0, 119.07, 116.76, 114.19]",0.2,0.5,"[5, 6, 1]","[2, 1, 1]"
73,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[5.0,6.0,1.0]",ROTH,128.66,116.987,0.00421,"[0.0, 120.01, 116.76, 114.19]",0.2,0.5,"[5, 6, 1]","[2, 1, 1]"
74,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[5.0,6.0,1.0]",PHAT,128.66,116.987,0.00421,"[0.0, 120.01, 116.76, 114.19]",0.2,0.5,"[5, 6, 1]","[2, 1, 1]"
75,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[5.0,6.0,1.0]",SCOT,128.66,116.987,0.00421,"[0.0, 120.01, 116.76, 114.19]",0.2,0.5,"[5, 6, 1]","[2, 1, 1]"
76,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[5.0,6.0,1.0]",ECKART,128.66,116.573,0.00451,"[0.0, 119.07, 116.76, 113.89]",0.2,0.5,"[5, 6, 1]","[2, 1, 1]"
77,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[5.0,6.0,1.0]",HT,128.66,116.987,0.00421,"[0.0, 120.01, 116.76, 114.19]",0.2,0.5,"[5, 6, 1]","[2, 1, 1]"
78,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,2.0,1.0]",Classic,161.565,145.023,0.00845,"[0.0, 150.67, 145.99, 138.41]",0.2,0.5,"[4, 2, 1]","[2, 1, 1]"
79,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,2.0,1.0]",ROTH,161.565,145.023,0.00845,"[0.0, 150.67, 145.99, 138.41]",0.2,0.5,"[4, 2, 1]","[2, 1, 1]"
80,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,2.0,1.0]",PHAT,161.565,145.023,0.00845,"[0.0, 150.67, 145.99, 138.41]",0.2,0.5,"[4, 2, 1]","[2, 1, 1]"
81,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,2.0,1.0]",SCOT,161.565,145.023,0.00845,"[0.0, 150.67, 145.99, 138.41]",0.2,0.5,"[4, 2, 1]","[2, 1, 1]"
82,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,2.0,1.0]",ECKART,161.565,144.483,0.00901,"[0.0, 147.48, 146.73, 139.24]",0.2,0.5,"[4, 2, 1]","[2, 1, 1]"
83,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[4.0,2.0,1.0]",HT,161.565,145.023,0.00845,"[0.0, 150.67, 145.99, 138.41]",0.2,0.5,"[4, 2, 1]","[2, 1, 1]"
84,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[10.0,6.0,1.0]",Classic,150.945,146.57,0.00059,"[0.0, 147.48, 146.73, 145.5]",0.2,0.5,"[10, 6, 1]","[2, 1, 1]"
85,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[10.0,6.0,1.0]",ROTH,150.945,147.09,0.00046,"[0.0, 149.04, 146.73, 145.5]",0.2,0.5,"[10, 6, 1]","[2, 1, 1]"
86,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[10.0,6.0,1.0]",PHAT,150.945,147.09,0.00046,"[0.0, 149.04, 146.73, 145.5]",0.2,0.5,"[10, 6, 1]","[2, 1, 1]"
87,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[10.0,6.0,1.0]",SCOT,150.945,147.09,0.00046,"[0.0, 149.04, 146.73, 145.5]",0.2,0.5,"[10, 6, 1]","[2, 1, 1]"
88,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[10.0,6.0,1.0]",ECKART,150.945,144.007,0.00149,"[0.0, 144.55, 143.85, 143.62]",0.2,0.5,"[10, 6, 1]","[2, 1, 1]"
89,"sim_T0.20s_d0.5_s[2.0,1.0,1.0]_m[10.0,6.0,1.0]",HT,150.945,147.09,0.00046,"[0.0, 149.04, 146.73, 145.5]",0.2,0.5,"[10, 6, 1]","[2, 1, 1]"
90,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,3.0,1.0]",Classic,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 6, 1]"
91,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,3.0,1.0]",ROTH,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 6, 1]"
92,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,3.0,1.0]",PHAT,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 6, 1]"
93,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,3.0,1.0]",SCOT,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 6, 1]"
94,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,3.0,1.0]",ECKART,143.13,127.557,0.00749,"[0.0, 130.03, 128.44, 124.2]",0.2,0.5,"[4, 3, 1]","[1, 6, 1]"
95,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[4.0,3.0,1.0]",HT,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 6, 1]"
96,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[8.0,5.0,1.0]",Classic,172.875,172.017,2e-05,"[0.0, 170.44, 173.35, 172.26]",0.2,0.5,"[8, 5, 1]","[1, 6, 1]"
97,"sim_T0.20s_d0.5_s[1.0,6.0,1.0]_m[8.0,5.0,1.0]",ROTH,172.875,175.203,0.00017,"[0.0, 180.0, 173.35, 172.26]",0.2,0.5,"[8, 5, 1]","[1, 6, 1]"
