sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[9.0,8.0,1.0]",ECKART,70.71,74.323,0.0004,"[0.0, 77.62, 73.39, 71.96]",0.2,0.1,"[6, 0, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[9.0,8.0,1.0]",HT,70.71,71.717,3e-05,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 0, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,5.0,1.0]",Classic,103.496,101.917,8e-05,"[0.0, 102.38, 102.38, 100.99]",0.2,0.1,"[6, 0, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,5.0,1.0]",ROTH,103.496,103.327,0.0,"[0.0, 106.61, 102.38, 100.99]",0.2,0.1,"[6, 0, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,5.0,1.0]",PHAT,103.496,103.327,0.0,"[0.0, 106.61, 102.38, 100.99]",0.2,0.1,"[6, 0, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,5.0,1.0]",SCOT,103.496,103.327,0.0,"[0.0, 106.61, 102.38, 100.99]",0.2,0.1,"[6, 0, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,5.0,1.0]",ECKART,103.496,100.757,0.00023,"[0.0, 102.38, 100.29, 99.6]",0.2,0.1,"[6, 0, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,5.0,1.0]",HT,103.496,101.917,8e-05,"[0.0, 102.38, 102.38, 100.99]",0.2,0.1,"[6, 0, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,4.0,1.0]",Classic,106.699,104.49,0.00015,"[0.0, 106.61, 104.48, 102.38]",0.2,0.1,"[6, 0, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,4.0,1.0]",ROTH,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 0, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,4.0,1.0]",PHAT,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 0, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,4.0,1.0]",SCOT,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 0, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[5.0,4.0,1.0]",ECKART,106.699,103.327,0.00035,"[0.0, 106.61, 102.38, 100.99]",0.2,0.1,"[6, 0, 1]","[5, 4, 1]"
