,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.n,mic_array.position,source.position
36,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",Classic,38.29,42.037,0.00043,"[0.0, 44.39, 41.38, 40.34]",0.2,0.1,4,"[5, 2, 1]","[9, 5, 1]"
37,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ROTH,38.29,40.25,0.00012,"[0.0, 44.39, 38.18, 38.18]",0.2,0.1,4,"[5, 2, 1]","[9, 5, 1]"
38,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",PHAT,38.29,40.25,0.00012,"[0.0, 44.39, 38.18, 38.18]",0.2,0.1,4,"[5, 2, 1]","[9, 5, 1]"
39,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",SCOT,38.29,40.25,0.00012,"[0.0, 44.39, 38.18, 38.18]",0.2,0.1,4,"[5, 2, 1]","[9, 5, 1]"
40,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ECKART,38.29,50.47,0.00458,"[0.0, 55.13, 49.97, 46.31]",0.2,0.1,4,"[5, 2, 1]","[9, 5, 1]"
41,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",HT,38.29,41.317,0.00028,"[0.0, 44.39, 41.38, 38.18]",0.2,0.1,4,"[5, 2, 1]","[9, 5, 1]"
42,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",Classic,38.66,41.073,0.00018,"[0.0, 44.39, 41.38, 40.34, 38.18]",0.2,0.1,5,"[5, 2, 1]","[9, 5, 1]"
43,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ROTH,38.66,39.732,4e-05,"[0.0, 44.39, 38.18, 38.18, 38.18]",0.2,0.1,5,"[5, 2, 1]","[9, 5, 1]"
44,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",PHAT,38.66,39.732,4e-05,"[0.0, 44.39, 38.18, 38.18, 38.18]",0.2,0.1,5,"[5, 2, 1]","[9, 5, 1]"
45,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",SCOT,38.66,39.732,4e-05,"[0.0, 44.39, 38.18, 38.18, 38.18]",0.2,0.1,5,"[5, 2, 1]","[9, 5, 1]"
46,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ECKART,38.66,49.777,0.00381,"[0.0, 55.13, 49.97, 48.17, 45.84]",0.2,0.1,5,"[5, 2, 1]","[9, 5, 1]"
47,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",HT,38.66,40.533,0.00011,"[0.0, 44.39, 41.38, 38.18, 38.18]",0.2,0.1,5,"[5, 2, 1]","[9, 5, 1]"
48,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",Classic,39.036,40.494,7e-05,"[0.0, 44.39, 41.38, 40.34, 38.18, 38.18]",0.2,0.1,6,"[5, 2, 1]","[9, 5, 1]"
49,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ROTH,39.036,39.154,0.0,"[0.0, 44.39, 38.18, 38.18, 38.18, 36.84]",0.2,0.1,6,"[5, 2, 1]","[9, 5, 1]"
50,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",PHAT,39.036,39.154,0.0,"[0.0, 44.39, 38.18, 38.18, 38.18, 36.84]",0.2,0.1,6,"[5, 2, 1]","[9, 5, 1]"
51,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",SCOT,39.036,39.154,0.0,"[0.0, 44.39, 38.18, 38.18, 38.18, 36.84]",0.2,0.1,6,"[5, 2, 1]","[9, 5, 1]"
52,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ECKART,39.036,48.7,0.00288,"[0.0, 55.13, 49.97, 48.17, 45.84, 44.39]",0.2,0.1,6,"[5, 2, 1]","[9, 5, 1]"
53,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",HT,39.036,39.794,2e-05,"[0.0, 44.39, 41.38, 38.18, 38.18, 36.84]",0.2,0.1,6,"[5, 2, 1]","[9, 5, 1]"
54,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",Classic,39.417,39.923,1e-05,"[0.0, 44.39, 41.38, 40.34, 38.18, 38.18, 37.07]",0.2,0.1,7,"[5, 2, 1]","[9, 5, 1]"
55,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ROTH,39.417,38.615,2e-05,"[0.0, 44.39, 38.18, 38.18, 38.18, 36.84, 35.92]",0.2,0.1,7,"[5, 2, 1]","[9, 5, 1]"
